計算日,基準日,適用開始日,通貨ペア,為替リスク想定比率（％）,レバレッジ（倍）
(Calculation Date),(Base date),(Effective date),(Currency pair),(Margin ratio),(Leverage)
2020/8/7,2020/8/7,2020/8/17,AUDJPY.hd01,1.96,51.02
2020/8/7,2020/8/7,2020/8/17,AUDUSD.hd01,2.65,37.73
2020/8/7,2020/8/7,2020/8/17,CADJPY.hd01,2.34,42.73
2020/8/7,2020/8/7,2020/8/17,CHFJPY.hd01,2.46,40.65
2020/8/7,2020/8/7,2020/8/17,CNHJPY.hd01,2.1,47.61
2020/8/7,2020/8/7,2020/8/17,EURAUD.hd01,2.52,39.68
2020/8/7,2020/8/7,2020/8/17,EURCHF.hd01,2.56,39.06
2020/8/7,2020/8/7,2020/8/17,EURGBP.hd01,1.76,56.81
2020/8/7,2020/8/7,2020/8/17,EURJPY.hd01,2.72,36.76
2020/8/7,2020/8/7,2020/8/17,EURUSD.hd01,2.65,37.73
2020/8/7,2020/8/7,2020/8/17,GBPCHF.hd01,2.84,35.21
2020/8/7,2020/8/7,2020/8/17,GBPJPY.hd01,3.08,32.46
2020/8/7,2020/8/7,2020/8/17,GBPUSD.hd01,2.34,42.73
2020/8/7,2020/8/7,2020/8/17,HKDJPY.hd01,0.93,107.52
2020/8/7,2020/8/7,2020/8/17,MXNJPY.hd01,2.43,41.15
2020/8/7,2020/8/7,2020/8/17,NOKJPY.hd01,1.88,53.19
2020/8/7,2020/8/7,2020/8/17,NZDJPY.hd01,2.05,48.78
2020/8/7,2020/8/7,2020/8/17,NZDUSD.hd01,2.98,33.55
2020/8/7,2020/8/7,2020/8/17,SGDJPY.hd01,2.74,36.49
2020/8/7,2020/8/7,2020/8/17,TRYJPY.hd01,2.62,38.16
2020/8/7,2020/8/7,2020/8/17,USDCAD.hd01,4.03,24.81
2020/8/7,2020/8/7,2020/8/17,USDCHF.hd01,1.68,59.52
2020/8/7,2020/8/7,2020/8/17,USDJPY.hd01,1.23,81.3
2020/8/7,2020/8/7,2020/8/17,ZARJPY.hd01,1.31,76.33
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
